Generated from IonStartLocationSteering.iob
Bender center = 920 
 Sel Focus, Bender offset, Efficiency,mean distance off axis
-1900, -52.631578947368, 100, 0.1, 0.34473406818518
-1900, -50, 100, 0.14, 0.32118546961599
-1900, -47.368421052632, 100, 0.13, 0.41687145680883
-1900, -44.736842105263, 100, 0.23, 0.36249901271852
-1900, -42.105263157895, 100, 0.33, 0.57130865973674
-1900, -39.473684210526, 100, 0.16, 0.61056414632399
-1900, -36.842105263158, 100, 0.16, 0.47957638335824
-1900, -34.210526315789, 100, 0.17, 0.43201461879278
-1900, -31.578947368421, 100, 0.08, 0.58466508749075
-1900, -28.947368421053, 100, 0.11, 0.53259244134264
-1900, -26.315789473684, 100, 0.15, 0.49321554423792
-1900, -23.684210526316, 100, 0.12, 0.60594945091572
-1900, -21.052631578947, 100, 0.16, 0.52223414089254
-1900, -18.421052631579, 100, 0.1, 0.60990172228222
-1900, -15.789473684211, 100, 0.06, 0.57909206476761
-1900, -13.157894736842, 100, 0.08, 0.67456978247205
-1900, -10.526315789474, 100, 0.07, 0.67914019682119
-1900, -7.8947368421053, 100, 0.13, 0.68571257984955
-1900, -5.2631578947368, 100, 0.08, 0.53262259530937
-1900, -2.6315789473684, 100, 0.08, 0.73191930955373
-1900, 0, 100, 0.07, 0.67361303851996
-1900, 2.6315789473684, 100, 0.1, 0.73288044463382
-1900, 5.2631578947368, 100, 0.15, 0.66042013376684
-1900, 7.8947368421053, 100, 0.11, 0.59917459872589
-1900, 10.526315789474, 100, 0.07, 0.69546619218096
-1900, 13.157894736842, 100, 0.07, 0.60307563516565
-1900, 15.789473684211, 100, 0.08, 0.60144374921347
-1900, 18.421052631579, 100, 0.06, 0.70889328924332
-1900, 21.052631578947, 100, 0.16, 0.54837433052012
-1900, 23.684210526316, 100, 0.09, 0.60338139244655
-1900, 26.315789473684, 100, 0.11, 0.59625742926849
-1900, 28.947368421053, 100, 0.12, 0.49227601567241
-1900, 31.578947368421, 100, 0.08, 0.43179233433674
-1900, 34.210526315789, 100, 0.11, 0.553973037179
-1900, 36.842105263158, 100, 0.16, 0.59871534141518
-1900, 39.473684210526, 100, 0.1, 0.53840860268944
-1900, 42.105263157895, 100, 0.09, 0.53566350782604
-1900, 44.736842105263, 100, 0.08, 0.58216892364713
-1900, 47.368421052632, 100, 0.17, 0.55819589034118
-1900, 50, 100, 0.19, 0.56380911304193
-1900, 52.631578947368, 100, 0.15, 0.46698052765031
-1889.4736842105, -52.631578947368, 100, 0.15, 0.36952032850153
-1889.4736842105, -50, 100, 0.13, 0.25298535640392
-1889.4736842105, -47.368421052632, 100, 0.22, 0.29597577100865
-1889.4736842105, -44.736842105263, 100, 0.17, 0.41412901085713
-1889.4736842105, -42.105263157895, 100, 0.22, 0.48759419044249
-1889.4736842105, -39.473684210526, 100, 0.2, 0.44353409626578
