Ypos,Zpos,Scan_min,Ext_y_min,Ext_z_min
31.0,35.0,0.14229345134087,170.0,20.0
31.25,33.75,0.46660899689156,180.0,-30.0
31.25,34.0,0.43118163875503,180.0,-20.0
31.25,34.25,0.10063700555369,190.0,-10.0
31.25,34.5,0.21776181150561,190.0,0.0
31.25,34.75,0.29819182058374,190.0,10.0
31.25,35.0,0.36691325909284,190.0,20.0
31.25,35.25,0.32212634803688,190.0,30.0
31.25,35.5,0.26955165623742,190.0,40.0
31.25,35.75,0.20071089648307,190.0,50.0
31.25,36.0,0.43994742314204,180.0,60.0
31.25,36.25,0.38850498147467,180.0,70.0
31.5,33.25,0.22169484632324,180.0,-50.0
31.5,33.5,0.19646629189799,190.0,-40.0
31.5,33.75,0.2683681437431,190.0,-30.0
31.5,34.0,0.30580429315016,200.0,-20.0
31.5,34.25,0.22451119885996,200.0,-10.0
31.5,34.5,0.10824562189208,200.0,0.0
31.5,34.75,0.090544453813917,200.0,10.0
31.5,35.0,0.11013581841083,200.0,20.0
31.5,35.25,0.1880953123704,200.0,30.0
31.5,35.5,0.24781816025722,200.0,40.0
31.5,35.75,0.38224757798863,200.0,50.0
31.5,36.0,0.41360369283365,190.0,60.0
31.5,36.25,0.1904762982516,190.0,70.0
31.5,36.5,0.26762395049019,190.0,80.0
31.5,36.75,0.27543766786121,180.0,80.0
31.75,32.75,0.21599110476198,170.0,-60.0
31.75,33.0,0.1062350518092,180.0,-60.0
31.75,33.25,0.32810496656214,190.0,-50.0
31.75,33.5,0.24903031863225,190.0,-50.0
31.75,33.75,0.27142215211783,190.0,-40.0
31.75,34.0,0.29843779783679,190.0,-30.0
31.75,34.25,0.27937207917239,190.0,-10.0
31.75,34.5,0.21646909192251,190.0,0.0
31.75,34.75,0.14095637062268,190.0,10.0
31.75,35.0,0.076850630827137,190.0,20.0
31.75,35.25,0.043708225909428,190.0,30.0
31.75,35.5,0.088551910129843,190.0,40.0
31.75,35.75,0.16707614848461,190.0,50.0
31.75,36.0,0.21327575822404,190.0,60.0
31.75,36.25,0.26033384207657,190.0,70.0
31.75,36.5,0.29398965337036,190.0,80.0
31.75,36.75,0.26663187343315,180.0,90.0
31.75,37.0,0.28903960617428,180.0,90.0
31.75,37.25,0.28112481642156,170.0,90.0
32.0,32.5,0.20599333119131,170.0,-70.0
32.0,32.75,0.18897039620576,180.0,-70.0
