Ypos,Zpos,Scan_min,Sel_x_min,Sel_z_min
31.0,35.0,0.40517530723287,15.0,5.0
31.25,33.75,0.55719564605515,22.5,-12.5
31.25,34.0,0.37839352551293,30.0,-12.5
31.25,34.25,0.60982688668226,32.5,-10.0
31.25,34.5,0.40535799108153,32.5,-7.5
31.25,34.75,0.39899615297887,32.5,-5.0
31.25,35.0,0.34949037085886,32.5,-2.5
31.25,35.25,0.42067965888832,32.5,0.0
31.25,35.5,0.53021377818519,32.5,2.5
31.25,35.75,0.43396590373651,32.5,5.0
31.25,36.0,0.29072912617215,32.5,7.5
31.25,36.25,0.53096266037936,27.5,12.5
31.5,33.25,0.25384916864017,27.5,-20.0
31.5,33.5,0.27462098195539,30.0,-17.5
31.5,33.75,0.36117140787625,30.0,-15.0
31.5,34.0,0.43531276513395,30.0,-12.5
31.5,34.25,0.56102800167484,30.0,-10.0
31.5,34.5,0.59515154467567,30.0,-7.5
31.5,34.75,0.55585004881206,30.0,-5.0
31.5,35.0,0.54849439745946,30.0,-2.5
31.5,35.25,0.37418736557837,30.0,0.0
31.5,35.5,0.26150971184298,30.0,2.5
31.5,35.75,0.35821668302004,30.0,5.0
31.5,36.0,0.52335036499935,32.5,7.5
31.5,36.25,0.11160077153398,32.5,10.0
31.5,36.5,0.1246677665585,32.5,12.5
31.5,36.75,0.41387989362496,32.5,15.0
31.75,32.75,0.52251405463086,25.0,-22.5
31.75,33.0,0.26120575710895,27.5,-22.5
31.75,33.25,0.42348951616679,27.5,-20.0
31.75,33.5,0.67487873028054,27.5,-15.0
31.75,33.75,0.58207475883241,25.0,-12.5
31.75,34.0,0.25345338815567,25.0,-10.0
31.75,34.25,0.27328547665923,25.0,-7.5
31.75,34.5,0.55607635778341,25.0,-5.0
31.75,34.75,0.41171676747067,25.0,-5.0
31.75,35.0,0.32437453463559,25.0,-2.5
31.75,35.25,0.47096487936901,25.0,0.0
31.75,35.5,0.42921499705642,25.0,0.0
31.75,35.75,0.46533410504192,25.0,2.5
31.75,36.0,0.47159121906681,27.5,5.0
31.75,36.25,0.42814821156352,27.5,7.5
31.75,36.5,0.60950072539006,30.0,12.5
31.75,36.75,0.42884597764888,30.0,15.0
31.75,37.0,0.47352583176231,32.5,17.5
31.75,37.25,0.25127333287349,30.0,17.5
32.0,32.5,0.83682801195462,25.0,-25.0
32.0,32.75,0.50190146387861,25.0,-25.0
32.0,33.0,0.56381659821194,25.0,-22.5
32.0,33.25,0.51646303628065,25.0,-17.5
32.0,33.5,0.46322389459099,22.5,-15.0
32.0,33.75,0.56324742277791,22.5,-10.0
32.0,34.0,0.77358478231005,20.0,-7.5
32.0,34.25,0.56093455915586,20.0,-7.5
32.0,34.5,0.19002152027931,20.0,-5.0
32.0,34.75,0.55461684812398,20.0,-2.5
32.0,35.0,0.049799238211598,20.0,-2.5
32.0,35.25,0.5972559417294,20.0,0.0
32.0,35.5,0.41352518421632,20.0,0.0
32.0,35.75,0.57594937700925,22.5,2.5
32.0,36.0,0.51666960482372,22.5,5.0
32.0,36.25,0.62762901796451,22.5,7.5
32.0,36.5,0.29391253164476,25.0,10.0
32.0,36.75,0.54077323404674,27.5,12.5
32.0,37.0,0.66919627844027,27.5,17.5
32.0,37.25,0.39505244995522,30.0,20.0
32.0,37.5,0.41480845829757,30.0,20.0
32.25,32.25,0.11963034656122,25.0,-27.5
32.25,32.5,0.64211859531178,25.0,-27.5
32.25,32.75,0.25723452985698,22.5,-22.5
32.25,33.0,0.80156553884909,22.5,-20.0
32.25,33.25,0.09283251097342,20.0,-15.0
32.25,33.5,0.77040762330678,20.0,-12.5
32.25,33.75,0.60231640119675,17.5,-7.5
32.25,34.0,0.3777942362535,17.5,-7.5
32.25,34.25,0.33761588109948,17.5,-5.0
32.25,34.5,0.73387152129268,17.5,-5.0
32.25,34.75,0.62084740447644,17.5,-2.5
32.25,35.0,0.57406926810695,15.0,-2.5
32.25,35.25,0.75377542653456,17.5,0.0
32.25,35.5,0.35990520178752,17.5,0.0
32.25,35.75,0.54736943452209,17.5,0.0
32.25,36.0,0.29420027123427,17.5,2.5
32.25,36.25,0.49971291794707,20.0,5.0
32.25,36.5,0.13852602719197,20.0,7.5
32.25,36.75,0.40328418460041,22.5,10.0
32.25,37.0,0.54734358635925,25.0,15.0
32.25,37.25,0.64103891851869,25.0,17.5
32.25,37.5,0.65533891763575,27.5,22.5
32.25,37.75,0.52481886262598,30.0,22.5
32.5,32.0,0.4310097979076,22.5,-30.0
32.5,32.25,0.53160685172796,22.5,-30.0
32.5,32.5,0.3809348376398,20.0,-25.0
32.5,32.75,0.42595738632597,20.0,-20.0
32.5,33.0,0.50173301869578,17.5,-15.0
32.5,33.25,0.49209530315317,17.5,-12.5
32.5,33.5,0.45840577595125,15.0,-10.0
32.5,33.75,0.31523986180122,15.0,-7.5
32.5,34.0,0.40471818127337,15.0,-5.0
32.5,34.25,0.78837461690644,12.5,-5.0
32.5,34.5,0.43615699984037,12.5,-2.5
32.5,34.75,0.31740776891004,12.5,-2.5
32.5,35.0,0.46246250228615,12.5,-2.5
32.5,35.25,0.61070443096521,12.5,0.0
32.5,35.5,0.50706696216267,12.5,0.0
32.5,35.75,0.52857965914659,15.0,0.0
32.5,36.0,0.26802203495107,15.0,2.5
32.5,36.25,0.66124872920311,15.0,2.5
32.5,36.5,0.57176354428757,17.5,5.0
32.5,36.75,0.64400457694042,17.5,10.0
32.5,37.0,0.039337359493017,20.0,12.5
32.5,37.25,0.48784269392563,22.5,17.5
32.5,37.5,0.36953494049273,25.0,20.0
32.5,37.75,0.6364974878929,27.5,22.5
32.5,38.0,0.37961306374091,27.5,22.5
32.75,31.75,0.53934761848627,22.5,-27.5
32.75,32.0,0.44152380753945,20.0,-30.0
32.75,32.25,0.50124347189639,20.0,-27.5
32.75,32.5,0.080377831188451,17.5,-22.5
32.75,32.75,0.31679192012437,15.0,-17.5
32.75,33.0,0.46296539758543,15.0,-12.5
32.75,33.25,0.46110913496342,12.5,-10.0
32.75,33.5,0.12035779693619,12.5,-7.5
32.75,33.75,0.33130774001317,12.5,-5.0
32.75,34.0,0.80430677276153,10.0,-5.0
32.75,34.25,0.4202838923515,10.0,-2.5
32.75,34.5,0.2692965492356,10.0,-2.5
32.75,34.75,0.40965117537451,10.0,-2.5
32.75,35.0,0.5672695626826,10.0,-2.5
32.75,35.25,0.49098533318991,10.0,0.0
32.75,35.5,0.36225092456728,10.0,0.0
32.75,35.75,0.53117377770316,10.0,0.0
32.75,36.0,0.68667236938316,12.5,2.5
32.75,36.25,0.12019685767307,12.5,2.5
32.75,36.5,0.56171326193744,12.5,5.0
32.75,36.75,0.071594457894069,15.0,7.5
32.75,37.0,0.54901849027713,17.5,10.0
32.75,37.25,0.47342446664009,17.5,15.0
32.75,37.5,0.62952002853341,20.0,20.0
32.75,37.75,0.29278836771938,22.5,22.5
32.75,38.0,0.043845152979943,25.0,25.0
32.75,38.25,0.76823675255965,27.5,22.5
33.0,31.75,0.61628542485346,17.5,-32.5
33.0,32.0,0.16281040016925,17.5,-30.0
33.0,32.25,0.39669492521821,15.0,-25.0
33.0,32.5,0.32866662762794,15.0,-20.0
33.0,32.75,0.27728536526446,12.5,-15.0
33.0,33.0,0.6296883896814,12.5,-12.5
33.0,33.25,0.63951366344195,10.0,-7.5
33.0,33.5,0.45438347955719,10.0,-5.0
33.0,33.75,0.49818456395423,10.0,-5.0
33.0,34.0,0.44698360562377,10.0,-2.5
33.0,34.25,0.61512043670756,7.5,-2.5
33.0,34.5,0.62008346994438,7.5,-2.5
33.0,34.75,0.6923657678869,7.5,-2.5
33.0,35.0,0.59217776738556,7.5,0.0
33.0,35.25,0.5604706506534,7.5,0.0
33.0,35.5,0.53347699747072,7.5,0.0
33.0,35.75,0.54660415952514,10.0,0.0
33.0,36.0,0.47625973438351,10.0,0.0
33.0,36.25,0.26053475885053,10.0,2.5
33.0,36.5,0.79894413934197,12.5,5.0
33.0,36.75,0.54710865956189,12.5,5.0
33.0,37.0,0.69579384364105,15.0,10.0
33.0,37.25,0.28318285905059,15.0,12.5
